row_idx,total_graders,num_available_graders,num_graders,spu_GED2_all,spu_E_IoU_SY_all,spu_E_IoU_SS_all,spu_E_IoU_YY_all,hpu_GED2_all,hpu_E_IoU_SY_all,hpu_E_IoU_SS_all,hpu_E_IoU_YY_all,spu_IoUrec_all,hpu_IoUrec_all,spu_Hungarian_all,hpu_Hungarian_all,num_nonempty_graders,spu_GED2_nonempty,spu_E_IoU_SY_nonempty,spu_E_IoU_SS_nonempty,spu_E_IoU_YY_nonempty,hpu_GED2_nonempty,hpu_E_IoU_SY_nonempty,hpu_E_IoU_SS_nonempty,hpu_E_IoU_YY_nonempty,spu_IoUrec_nonempty,hpu_IoUrec_nonempty,spu_Hungarian_nonempty,hpu_Hungarian_nonempty
1258,4,1,4,0.044421487603305776,0.6027892561983471,0.625,0.625,0.014000000000000012,0.618,0.625,0.625,0.9111570247933884,0.972,0.6274882763900852,0.75,1,0.7107438016528926,0.6446280991735537,1.0,1.0,0.22399999999999998,0.888,1.0,1.0,0.6446280991735537,0.888,0.16195329696621688,0.0
1259,4,1,4,0.03490990990990994,0.607545045045045,0.625,0.625,0.00990099009900991,0.620049504950495,0.625,0.625,0.9301801801801801,0.9801980198019802,0.7067340067340068,0.7509337068160598,1,0.5585585585585586,0.7207207207207207,1.0,1.0,0.15841584158415833,0.9207920792079208,1.0,1.0,0.7207207207207207,0.9207920792079208,0.04680134680134679,0.1080765639589169
1260,4,1,4,0.03865979381443285,0.6056701030927836,0.625,0.625,0.012499999999999956,0.61875,0.625,0.625,0.9226804123711341,0.975,0.39560648635991097,0.8287545787545788,1,0.6185567010309279,0.6907216494845361,1.0,1.0,0.19999999999999996,0.9,1.0,1.0,0.6907216494845361,0.9,0.098100880873553,0.07875457875457875
1261,4,1,4,0.054054054054053946,0.597972972972973,0.625,0.625,0.019736842105263275,0.6151315789473684,0.625,0.625,0.8918918918918919,0.9605263157894737,0.7678571428571429,0.5920474746418488,1,0.8648648648648649,0.5675675675675675,1.0,1.0,0.3157894736842106,0.8421052631578947,1.0,1.0,0.5675675675675675,0.8421052631578947,0.01785714285714285,0.1797141195604021
1262,4,1,4,0.047794117647058876,0.6011029411764706,0.625,0.625,0.014285714285714235,0.6178571428571429,0.625,0.625,0.9044117647058824,0.9714285714285714,0.7540650406504065,0.5774704189318837,1,0.7647058823529411,0.6176470588235294,1.0,1.0,0.22857142857142865,0.8857142857142857,1.0,1.0,0.6176470588235294,0.8857142857142857,0.004065040650406508,0.10697622386141732
1263,4,1,4,0.0714285714285714,0.5892857142857143,0.625,0.625,0.010714285714285676,0.6196428571428572,0.625,0.625,0.8571428571428571,0.9785714285714285,0.7535759897828863,0.5682699083861875,1,1.1428571428571428,0.42857142857142855,1.0,1.0,0.17142857142857149,0.9142857142857143,1.0,1.0,0.42857142857142855,0.9142857142857143,0.11085568326947637,0.07602184637068359
1264,4,1,4,0.125,0.75,1.0,0.625,0.125,0.75,1.0,0.625,0.75,0.75,0.746031746031746,0.752415458937198,1,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.10317460317460315,0.0024154589371980597
1265,4,1,4,0.125,0.75,1.0,0.625,0.050000000000000044,0.6,0.625,0.625,0.75,0.9,0.6961085509472605,0.760752688172043,1,2.0,0.0,1.0,1.0,0.8,0.6,1.0,1.0,0.0,0.6,0.037378392217101895,0.010752688172043001
1266,4,1,4,0.078125,0.5859375,0.625,0.625,0.078125,0.5859375,0.625,0.625,0.84375,0.84375,0.7729885057471265,0.6900856079960557,1,1.25,0.375,1.0,1.0,1.25,0.375,1.0,1.0,0.375,0.375,0.022988505747126447,0.029424947335395097
1267,4,1,4,0.046052631578947345,0.6019736842105263,0.625,0.625,0.0,0.625,0.625,0.625,0.9078947368421053,1.0,0.81015503875969,0.75,1,0.736842105263158,0.631578947368421,1.0,1.0,0.0,1.0,1.0,1.0,0.631578947368421,1.0,0.18031007751937986,0.0
